units,amount,probability,type,stage,lead_source,lead_firstname,lead_lastname,lead,assignedTo,description,
35506,23975781.56,63.83,NEW,NEGOTIATION OR REVIEW,ASSIGNED,Perice,Heisham,Perice Heisham,hhubbleh@lin.com,Ergonomic 3rd generation workforce,
14031,9474573,53.33,NEW,CLOSED LOST,RECYCLED,Colby,Warlton,Colby Warlton,iairdriei@lin.com,Compatible actuating paradigm,
24773,16728215.98,74.51,NEW,CLOSED WON,DEAD,Ami,Underhill,Ami Underhill,dghionj@lin.com,Multi-lateral actuating approach,
18082,12210051.32,32.62,NEW,CLOSED WON,RECYCLED,Melessa,Bock,Melessa Bock,iepslyk@lin.com,Reactive analyzing intranet,
27268,18412989.68,73.76,EXISTING,IDENTIFYING DECISION MAKERS,IN PROCESS,Fabio,Volkes,Fabio Volkes,xcanbyl@lin.com,Switchable mobile budgetary management,
14266,9633259,86.31,EXISTING,PROPOSAL OR PRICE QUOTE,DEAD,Noelyn,Vlasov,Noelyn Vlasov,sclotworthym@lin.com,Total fresh-thinking ability,
37743,25486338.18,82.63,EXISTING,PERCEPTION ANALYSIS,RECYCLED,Sallee,Georghiou,Sallee Georghiou,bbassn@lin.com,Face to face interactive solution,
36219,24457241.94,62.57,EXISTING,PROSPECTING,CONVERTED,Mickie,Davidi,Mickie Davidi,sdowtyo@lin.com,Diverse eco-centric algorithm,
32174,21725815.24,65.57,NEW,VALUE PROPOSITION,ASSIGNED,Derron,Buckles,Derron Buckles,oderham0@lin.com,Customer-focused optimal attitude,
17250,11648235,40.05,NEW,CLOSED LOST,RECYCLED,Emmett,Gonnel,Emmett Gonnel,kvickress1@lin.com,Pre-emptive system-worthy orchestration,
37900,25592354,37.24,NEW,NEGOTIATION OR REVIEW,ASSIGNED,Charity,Gajownik,Charity Gajownik,jhrishchenko2@lin.com,De-engineered explicit solution,
25843,17450744.18,81.54,EXISTING,CLOSED WON,NEW,Cherrita,Fossitt,Cherrita Fossitt,tbeacock3@lin.com,Networked attitude-oriented ability,
44256,29884306.56,58.39,NEW,PERCEPTION ANALYSIS,ASSIGNED,Hagan,Naisbet,Hagan Naisbet,sstockell4@lin.com,Progressive dedicated forecast,
10734,7248240,38.52,EXISTING,PERCEPTION ANALYSIS,DEAD,Sybille,Sabathe,Sybille Sabathe,jhackly5@lin.com,Programmable disintermediate Graphical User Interface,
37867,25570070.42,82,EXISTING,CLOSED LOST,CONVERTED,Jinny,D'Agostino,Jinny D'Agostino,lnorgan6@lin.com,Multi-tiered radical complexity,
13285,8970829,51.92,NEW,IDENTIFYING DECISION MAKERS,ASSIGNED,Phaedra,Langhor,Phaedra Langhor,lcholwell7@lin.com,Vision-oriented multimedia challenge,
39917,26954353.42,65.12,EXISTING,PERCEPTION ANALYSIS,ASSIGNED,Rosabelle,Gyles,Rosabelle Gyles,broyan8@lin.com,Upgradable web-enabled database,
19653,13270884.78,53.95,EXISTING,CLOSED LOST,NEW,Christie,Bamblett,Christie Bamblett,lknaggs9@lin.com,Ameliorated web-enabled complexity,
33965,22935205.9,46.63,EXISTING,VALUE PROPOSITION,RECYCLED,Lovell,Longina,Lovell Longina,abownasa@lin.com,Multi-channelled asymmetric core,
16772,11325460.72,68.42,EXISTING,PROPOSAL OR PRICE QUOTE,IN PROCESS,Cassi,McQuirk,Cassi McQuirk,cboseleyb@lin.com,Object-based transitional initiative,
10061,6793790.86,77.81,NEW,CLOSED WON,ASSIGNED,Mirabelle,Cartledge,Mirabelle Cartledge,lrainforthc@lin.com,Pre-emptive even-keeled data-warehouse,
19807,13374874.82,66.78,NEW,VALUE PROPOSITION,RECYCLED,Irma,Rekes,Irma Rekes,mommundsend@lin.com,Ergonomic human-resource architecture,
10458,7061869,59.37,EXISTING,PROPOSAL OR PRICE QUOTE,NEW,Wilmar,Korejs,Wilmar Korejs,lganforthe@lin.com,Secured 5th generation attitude,
13410,9055236,68.53,EXISTING,PROSPECTING,CONVERTED,Kaia,Reily,Kaia Reily,kmedleyf@lin.com,Synergistic interactive open system,
44285,29903889.1,81.41,EXISTING,IDENTIFYING DECISION MAKERS,NEW,Elton,Lowin,Elton Lowin,equickendeng@lin.com,Profound asynchronous productivity,
14541,9818955,86.1,NEW,IDENTIFYING DECISION MAKERS,RECYCLED,Andree,Kingsworth,Andree Kingsworth,hhubbleh@lin.com,Networked stable Graphical User Interface,
18599,12559160.74,54.48,NEW,NEGOTIATION OR REVIEW,DEAD,Zelda,Lehrer,Zelda Lehrer,iairdriei@lin.com,Profound zero defect definition,
35176,23752945.76,46.71,EXISTING,NEEDS ANALYSIS,NEW,Aldis,Olenichev,Aldis Olenichev,dghionj@lin.com,Business-focused uniform time-frame,
23647,15967873.22,98.28,NEW,VALUE PROPOSITION,ASSIGNED,Shermy,Renols,Shermy Renols,iepslyk@lin.com,Reduced intangible interface,
48124,32496212.24,92.17,NEW,PERCEPTION ANALYSIS,NEW,Dianne,Ashwood,Dianne Ashwood,xcanbyl@lin.com,Self-enabling asynchronous challenge,
18028,12173587.28,48.86,NEW,PROSPECTING,RECYCLED,Guendolen,Summergill,Guendolen Summergill,sclotworthym@lin.com,Stand-alone non-volatile collaboration,
23852,16106301.52,56.1,NEW,CLOSED LOST,DEAD,Quinton,Dightham,Quinton Dightham,bbassn@lin.com,Advanced dynamic forecast,
19786,13360694.36,32.7,EXISTING,VALUE PROPOSITION,DEAD,Marlo,Shrimpling,Marlo Shrimpling,sdowtyo@lin.com,User-friendly client-driven definition,
23622,15950991.72,51.02,NEW,IDENTIFYING DECISION MAKERS,ASSIGNED,Merill,Ubanks,Merill Ubanks,oderham0@lin.com,Pre-emptive optimal data-warehouse,
36923,24932624.98,91.32,EXISTING,NEEDS ANALYSIS,DEAD,Sheff,Peterffy,Sheff Peterffy,kvickress1@lin.com,Virtual multi-tasking matrix,
16962,11453760.12,81.6,EXISTING,CLOSED WON,RECYCLED,Merralee,Lavender,Merralee Lavender,jhrishchenko2@lin.com,Optimized actuating leverage,
32252,21778485.52,72.39,NEW,VALUE PROPOSITION,ASSIGNED,Karlene,Copeland,Karlene Copeland,tbeacock3@lin.com,Decentralized incremental process improvement,
15833,10691391.58,34.58,EXISTING,CLOSED LOST,RECYCLED,Janela,Manjin,Janela Manjin,sstockell4@lin.com,Total mobile firmware,
14014,9463093,37.13,EXISTING,NEGOTIATION OR REVIEW,CONVERTED,Gabriell,Dyson,Gabriell Dyson,jhackly5@lin.com,Synchronised composite infrastructure,
16033,10826443.58,42.23,EXISTING,VALUE PROPOSITION,NEW,Claudie,Othick,Claudie Othick,lnorgan6@lin.com,Profound leading edge info-mediaries,
45835,30950542.1,74.77,EXISTING,NEGOTIATION OR REVIEW,NEW,Zared,Larrington,Zared Larrington,lcholwell7@lin.com,Function-based 4th generation groupware,
18940,12789424.4,57.55,NEW,NEEDS ANALYSIS,CONVERTED,Lindon,Czyz,Lindon Czyz,broyan8@lin.com,Monitored methodical architecture,
14286,9646764,41.17,EXISTING,IDENTIFYING DECISION MAKERS,NEW,Lynnelle,Slight,Lynnelle Slight,lknaggs9@lin.com,Intuitive stable complexity,
19624,13251302.24,89.1,NEW,NEEDS ANALYSIS,DEAD,Lisa,Surphliss,Lisa Surphliss,abownasa@lin.com,Fundamental bifurcated archive,
46310,31271290.6,39.35,NEW,CLOSED LOST,IN PROCESS,Gearalt,Monan,Gearalt Monan,cboseleyb@lin.com,Multi-layered local open system,
25538,17244789.88,52.03,EXISTING,NEGOTIATION OR REVIEW,IN PROCESS,Babita,Druce,Babita Druce,lrainforthc@lin.com,Reactive homogeneous encryption,
16478,11126934.28,57.38,NEW,NEGOTIATION OR REVIEW,DEAD,Marena,Braghini,Marena Braghini,mommundsend@lin.com,Optimized user-facing internet solution,
40001,27011075.26,55.58,EXISTING,PERCEPTION ANALYSIS,CONVERTED,Marin,Tesseyman,Marin Tesseyman,lganforthe@lin.com,Virtual human-resource data-warehouse,
24567,16589112.42,95.22,EXISTING,VALUE PROPOSITION,NEW,Augustine,Barrie,Augustine Barrie,kmedleyf@lin.com,Synergized impactful data-warehouse,
16021,10818340.46,44.84,NEW,NEGOTIATION OR REVIEW,RECYCLED,Paige,Leopard,Paige Leopard,equickendeng@lin.com,Reduced methodical core,
34299,23160742.74,97.06,NEW,NEEDS ANALYSIS,DEAD,Renata,Pavett,Renata Pavett,hhubbleh@lin.com,Public-key exuding definition,
34379,23214763.54,69.55,NEW,CLOSED WON,RECYCLED,Mead,Prise,Mead Prise,iairdriei@lin.com,Fully-configurable holistic knowledge base,
36316,24522742.16,86.14,EXISTING,NEGOTIATION OR REVIEW,NEW,Pansy,Jerram,Pansy Jerram,dghionj@lin.com,Face to face disintermediate hardware,
47011,31744647.86,78.07,EXISTING,PERCEPTION ANALYSIS,DEAD,Karlene,Winkett,Karlene Winkett,iepslyk@lin.com,Robust dynamic frame,
24584,16600591.84,31.46,NEW,VALUE PROPOSITION,ASSIGNED,Justina,McRobbie,Justina McRobbie,xcanbyl@lin.com,Future-proofed zero administration open system,
14006,9457691,48.64,EXISTING,PERCEPTION ANALYSIS,NEW,Tedra,Bycraft,Tedra Bycraft,sclotworthym@lin.com,Organic reciprocal circuit,
16435,11097898.1,98.08,EXISTING,NEEDS ANALYSIS,DEAD,Reynard,Pobjoy,Reynard Pobjoy,bbassn@lin.com,Multi-lateral national collaboration,
35200,23769152,35.32,NEW,NEGOTIATION OR REVIEW,DEAD,Chilton,Moxom,Chilton Moxom,sdowtyo@lin.com,Object-based holistic implementation,
43840,29603398.4,31.37,NEW,PERCEPTION ANALYSIS,DEAD,Hanan,Melby,Hanan Melby,oderham0@lin.com,Assimilated 24/7 protocol,
47845,32307814.7,93.41,EXISTING,PROPOSAL OR PRICE QUOTE,CONVERTED,Selma,Lofts,Selma Lofts,kvickress1@lin.com,Streamlined zero tolerance portal,
30174,20375295.24,97.39,NEW,CLOSED LOST,RECYCLED,Philis,MacKereth,Philis MacKereth,jhrishchenko2@lin.com,Upgradable context-sensitive frame,
44578,30101740.28,85.26,NEW,NEGOTIATION OR REVIEW,RECYCLED,Celisse,Hopkins,Celisse Hopkins,tbeacock3@lin.com,Diverse optimal portal,
27614,18646629.64,65.74,EXISTING,PERCEPTION ANALYSIS,NEW,Issiah,Rosin,Issiah Rosin,sstockell4@lin.com,Enterprise-wide executive access,
23670,15983404.2,35.97,NEW,PROPOSAL OR PRICE QUOTE,NEW,Bobinette,Kmiec,Bobinette Kmiec,jhackly5@lin.com,Team-oriented multimedia interface,
13030,8798637,42.99,NEW,PERCEPTION ANALYSIS,ASSIGNED,Rubi,Illiston,Rubi Illiston,lnorgan6@lin.com,Progressive composite infrastructure,
25300,17084078,66.56,EXISTING,PROPOSAL OR PRICE QUOTE,DEAD,Wanda,Entwistle,Wanda Entwistle,lcholwell7@lin.com,Intuitive bottom-line approach,
10109,6826203,80.63,EXISTING,NEEDS ANALYSIS,NEW,Essa,Pilmoor,Essa Pilmoor,broyan8@lin.com,Self-enabling full-range model,
24161,16314956.86,40.62,EXISTING,CLOSED LOST,NEW,Erin,Dagg,Erin Dagg,lknaggs9@lin.com,User-friendly leading edge concept,
37556,25360064.56,82.79,NEW,VALUE PROPOSITION,NEW,Vinny,Georger,Vinny Georger,abownasa@lin.com,Future-proofed encompassing open system,
30520,20608935.2,82,NEW,VALUE PROPOSITION,NEW,Minda,Thody,Minda Thody,cboseleyb@lin.com,Up-sized object-oriented Graphic Interface,
21585,14575487.1,49.51,EXISTING,PERCEPTION ANALYSIS,RECYCLED,Oralla,Shew,Oralla Shew,lrainforthc@lin.com,De-engineered discrete array,
28659,19352276.34,73.12,EXISTING,IDENTIFYING DECISION MAKERS,ASSIGNED,Opal,Churchley,Opal Churchley,mommundsend@lin.com,User-centric bi-directional Graphic Interface,
34514,23305923.64,71.97,NEW,IDENTIFYING DECISION MAKERS,RECYCLED,Gusty,Folley,Gusty Folley,lganforthe@lin.com,Integrated coherent approach,
11102,7496736,44.91,NEW,VALUE PROPOSITION,RECYCLED,Boony,Huggill,Boony Huggill,kmedleyf@lin.com,Pre-emptive intangible hub,
33315,22496286.9,74.46,EXISTING,NEEDS ANALYSIS,RECYCLED,Trula,Plaxton,Trula Plaxton,equickendeng@lin.com,Programmable fault-tolerant application,
49748,33592834.48,81.16,EXISTING,VALUE PROPOSITION,CONVERTED,Bettina,Pethybridge,Bettina Pethybridge,hhubbleh@lin.com,Cross-platform real-time projection,
27688,18696598.88,45.64,NEW,PROPOSAL OR PRICE QUOTE,DEAD,Joli,Angelini,Joli Angelini,iairdriei@lin.com,Object-based logistical synergy,
24740,16705932.4,85.43,EXISTING,NEEDS ANALYSIS,IN PROCESS,Rosabel,Wragg,Rosabel Wragg,dghionj@lin.com,Distributed mission-critical structure,
20994,14176408.44,77.55,EXISTING,NEEDS ANALYSIS,IN PROCESS,Blayne,Durrant,Blayne Durrant,iepslyk@lin.com,Front-line maximized conglomeration,
13882,9373959,66.4,EXISTING,PROSPECTING,RECYCLED,Cornelle,De Hailes,Cornelle De Hailes,xcanbyl@lin.com,Optimized uniform parallelism,
23618,15948290.68,88.02,EXISTING,IDENTIFYING DECISION MAKERS,ASSIGNED,Salem,Quayle,Salem Quayle,sclotworthym@lin.com,Implemented client-driven synergy,
43223,29186762.98,42.01,NEW,PROSPECTING,ASSIGNED,Kelley,Stegel,Kelley Stegel,bbassn@lin.com,Polarised client-server open architecture,
38170,25774674.2,85.67,NEW,NEEDS ANALYSIS,NEW,Fielding,Dunphy,Fielding Dunphy,sdowtyo@lin.com,Re-engineered non-volatile standardization,
24974,16863943.24,45.18,EXISTING,VALUE PROPOSITION,IN PROCESS,Ermin,Children,Ermin Children,oderham0@lin.com,Persistent grid-enabled open architecture,
21238,14341171.88,59.85,NEW,CLOSED WON,CONVERTED,Ken,Dolden,Ken Dolden,kvickress1@lin.com,Face to face actuating definition,
33091,22345028.66,37.04,NEW,NEEDS ANALYSIS,RECYCLED,Dacie,Planke,Dacie Planke,jhrishchenko2@lin.com,Fundamental 3rd generation benchmark,
21364,14426254.64,69.27,NEW,IDENTIFYING DECISION MAKERS,CONVERTED,Chad,Retallack,Chad Retallack,tbeacock3@lin.com,Innovative web-enabled framework,
11986,8093666.36,68.93,NEW,PERCEPTION ANALYSIS,NEW,Angelica,Pinwill,Angelica Pinwill,sstockell4@lin.com,Automated executive toolset,
34686,23422068.36,47.61,EXISTING,VALUE PROPOSITION,DEAD,Marv,Garret,Marv Garret,jhackly5@lin.com,Cross-platform system-worthy functionalities,
32947,22247791.22,53.01,NEW,PROSPECTING,CONVERTED,Arabella,Haversum,Arabella Haversum,lnorgan6@lin.com,Cross-platform motivating framework,
21801,14721343.26,33.96,NEW,PERCEPTION ANALYSIS,ASSIGNED,Xenos,Borgnet,Xenos Borgnet,lcholwell7@lin.com,Focused uniform superstructure,
47093,31800019.18,66.14,EXISTING,IDENTIFYING DECISION MAKERS,RECYCLED,Damian,Hazelden,Damian Hazelden,broyan8@lin.com,Synergistic zero administration core,
34385,23218815.1,31.73,NEW,VALUE PROPOSITION,NEW,Chev,Cakebread,Chev Cakebread,lknaggs9@lin.com,Streamlined grid-enabled circuit,
10831,7313741.06,75.28,EXISTING,PROPOSAL OR PRICE QUOTE,IN PROCESS,Eugine,Lilley,Eugine Lilley,abownasa@lin.com,Diverse client-driven parallelism,
21505,14521466.3,79.3,EXISTING,PROSPECTING,ASSIGNED,Nikkie,Ladell,Nikkie Ladell,cboseleyb@lin.com,Inverse zero tolerance complexity,
31350,21169401,81.05,NEW,PERCEPTION ANALYSIS,IN PROCESS,Tobiah,Dyne,Tobiah Dyne,lrainforthc@lin.com,Optimized uniform intranet,
20939,14139269.14,50.71,NEW,PROSPECTING,RECYCLED,Norry,Spaight,Norry Spaight,mommundsend@lin.com,Upgradable executive extranet,
46887,31660915.62,36.95,EXISTING,PROSPECTING,IN PROCESS,Tonia,Machen,Tonia Machen,lganforthe@lin.com,Devolved contextually-based analyzer,
24446,16507405.96,96.16,EXISTING,CLOSED LOST,IN PROCESS,Corilla,Isaak,Corilla Isaak,kmedleyf@lin.com,Self-enabling tertiary budgetary management,
28167,19020048.42,98.06,NEW,NEGOTIATION OR REVIEW,ASSIGNED,Gunilla,Paulet,Gunilla Paulet,equickendeng@lin.com,Multi-tiered content-based process improvement,
33732,22777870.32,31.81,EXISTING,NEGOTIATION OR REVIEW,DEAD,Oberon,Ottee,Oberon Ottee,hhubbleh@lin.com,Operative static frame,
26771,18077385.46,60.82,EXISTING,NEGOTIATION OR REVIEW,CONVERTED,Kathy,Morrish,Kathy Morrish,iairdriei@lin.com,Diverse human-resource monitoring,
41486,28013836.36,83.82,EXISTING,PERCEPTION ANALYSIS,NEW,Way,Rivett,Way Rivett,dghionj@lin.com,Business-focused bi-directional concept,
46598,31465765.48,61.82,EXISTING,PROSPECTING,IN PROCESS,Melonie,Vedyashkin,Melonie Vedyashkin,iepslyk@lin.com,Pre-emptive incremental system engine,
15186,10254498.36,33.95,EXISTING,PERCEPTION ANALYSIS,ASSIGNED,Grove,Hartas,Grove Hartas,xcanbyl@lin.com,Reduced tangible function,
48769,32931754.94,37.55,NEW,PROPOSAL OR PRICE QUOTE,RECYCLED,Aldous,Pybus,Aldous Pybus,sclotworthym@lin.com,Universal mobile matrix,
48694,32881110.44,34.78,NEW,NEEDS ANALYSIS,CONVERTED,Klarrisa,Abbey,Klarrisa Abbey,bbassn@lin.com,Configurable bottom-line time-frame,
11925,8052475.5,99.39,EXISTING,IDENTIFYING DECISION MAKERS,IN PROCESS,Daveen,Ivie,Daveen Ivie,sdowtyo@lin.com,Persistent non-volatile customer loyalty,
17514,11826503.64,93.59,EXISTING,CLOSED LOST,CONVERTED,Meryl,Garvagh,Meryl Garvagh,oderham0@lin.com,Automated non-volatile capacity,
20076,13556519.76,77.1,NEW,PERCEPTION ANALYSIS,IN PROCESS,Jody,Grestye,Jody Grestye,kvickress1@lin.com,Inverse incremental policy,
18948,12794826.48,66.47,NEW,PROSPECTING,ASSIGNED,Vidovik,Iacomo,Vidovik Iacomo,jhrishchenko2@lin.com,Quality-focused uniform artificial intelligence,
45972,31043052.72,30.4,EXISTING,CLOSED LOST,DEAD,Augustine,Oppery,Augustine Oppery,tbeacock3@lin.com,Networked 24/7 function,
20182,13628097.32,69.69,NEW,NEEDS ANALYSIS,ASSIGNED,Dru,Tumelty,Dru Tumelty,sstockell4@lin.com,Versatile holistic definition,
38201,25795607.26,75.17,EXISTING,NEEDS ANALYSIS,DEAD,Iggy,Mosson,Iggy Mosson,jhackly5@lin.com,Networked zero defect contingency,
30278,20445522.28,90.68,NEW,CLOSED LOST,IN PROCESS,Zacharia,Lemonby,Zacharia Lemonby,lnorgan6@lin.com,Streamlined impactful groupware,
40038,27036059.88,40.46,NEW,PERCEPTION ANALYSIS,ASSIGNED,Perice,Heisham,Perice Heisham,lcholwell7@lin.com,User-friendly system-worthy paradigm,
22367,15103540.42,84.37,NEW,PROPOSAL OR PRICE QUOTE,RECYCLED,Melessa,Bock,Melessa Bock,broyan8@lin.com,Sharable logistical benchmark,
20024,13521406.24,97.03,NEW,VALUE PROPOSITION,DEAD,Noelyn,Vlasov,Noelyn Vlasov,lknaggs9@lin.com,Visionary value-added initiative,
43067,29081422.42,60.01,NEW,CLOSED LOST,IN PROCESS,Rogers,Brierley,Rogers Brierley,abownasa@lin.com,Function-based 3rd generation toolset,
37027,25002852.02,88.6,EXISTING,NEGOTIATION OR REVIEW,ASSIGNED,Milton,Mathelin,Milton Mathelin,cboseleyb@lin.com,Public-key solution-oriented pricing structure,
41313,27897016.38,89.21,NEW,PROSPECTING,NEW,Jarrid,Growden,Jarrid Growden,lrainforthc@lin.com,Triple-buffered neutral synergy,
35804,24177009.04,54.2,NEW,NEEDS ANALYSIS,ASSIGNED,Derron,Buckles,Derron Buckles,mommundsend@lin.com,Synergistic intermediate project,
35021,23648280.46,40.9,EXISTING,PROPOSAL OR PRICE QUOTE,RECYCLED,Emmett,Gonnel,Emmett Gonnel,lganforthe@lin.com,Persevering user-facing ability,
17378,11734668.28,40.89,EXISTING,PERCEPTION ANALYSIS,NEW,Danna,Iggo,Danna Iggo,kmedleyf@lin.com,User-friendly web-enabled migration,
26277,17743807.02,97.72,EXISTING,NEGOTIATION OR REVIEW,RECYCLED,Milty,Sheeres,Milty Sheeres,equickendeng@lin.com,Advanced object-oriented initiative,
47577,32126845.02,48.91,EXISTING,CLOSED WON,NEW,Auroora,Aleixo,Auroora Aleixo,hhubbleh@lin.com,Expanded grid-enabled adapter,
22377,15110293.02,61.74,EXISTING,PROPOSAL OR PRICE QUOTE,DEAD,Faunie,Auletta,Faunie Auletta,iairdriei@lin.com,Managed intangible benchmark,
45343,30618314.18,80.72,NEW,CLOSED LOST,DEAD,Merrili,Kalkhoven,Merrili Kalkhoven,dghionj@lin.com,Cross-group multi-tasking pricing structure,
29484,19909365.84,30.4,NEW,VALUE PROPOSITION,CONVERTED,Jinny,D'Agostino,Jinny D'Agostino,iepslyk@lin.com,Upgradable optimizing service-desk,
26787,18088189.62,77.78,NEW,CLOSED WON,IN PROCESS,Dorena,Ruppeli,Dorena Ruppeli,xcanbyl@lin.com,Up-sized bandwidth-monitored customer loyalty,
12354,8342162.04,92.47,EXISTING,CLOSED WON,ASSIGNED,Rosabelle,Gyles,Rosabelle Gyles,sclotworthym@lin.com,Exclusive logistical parallelism,
12392,8367821,80.34,EXISTING,NEEDS ANALYSIS,RECYCLED,Nada,Simison,Nada Simison,bbassn@lin.com,Configurable interactive synergy,
23514,15878063.64,57.59,NEW,CLOSED WON,DEAD,Gaultiero,Boule,Gaultiero Boule,sdowtyo@lin.com,Innovative maximized open system,
24876,16797767.76,58.49,NEW,NEGOTIATION OR REVIEW,IN PROCESS,Cassi,McQuirk,Cassi McQuirk,oderham0@lin.com,Function-based 4th generation solution,
47217,31883751.42,91.64,NEW,NEGOTIATION OR REVIEW,NEW,Wilmar,Korejs,Wilmar Korejs,kvickress1@lin.com,Up-sized needs-based circuit,
33606,22692787.56,80.03,EXISTING,NEGOTIATION OR REVIEW,IN PROCESS,Desiree,Daniells,Desiree Daniells,jhrishchenko2@lin.com,Organic non-volatile project,
24959,16853814.34,40.54,NEW,NEGOTIATION OR REVIEW,CONVERTED,Lavinie,Bithell,Lavinie Bithell,tbeacock3@lin.com,Quality-focused next generation capability,
48735,32908796.1,65.23,EXISTING,PROPOSAL OR PRICE QUOTE,IN PROCESS,Niven,Brehault,Niven Brehault,sstockell4@lin.com,Balanced upward-trending parallelism,
49081,33142436.06,37.15,NEW,PROPOSAL OR PRICE QUOTE,IN PROCESS,Fallon,Girsch,Fallon Girsch,jhackly5@lin.com,Seamless zero defect encryption,
11462,7739830.12,81.42,EXISTING,IDENTIFYING DECISION MAKERS,DEAD,Zelda,Lehrer,Zelda Lehrer,lnorgan6@lin.com,Upgradable interactive firmware,
23430,15821341.8,39.84,NEW,PROPOSAL OR PRICE QUOTE,IN PROCESS,Alyce,Gingell,Alyce Gingell,lcholwell7@lin.com,Integrated exuding service-desk,
22694,15324350.44,36.35,EXISTING,NEEDS ANALYSIS,ASSIGNED,Lowell,McMylor,Lowell McMylor,broyan8@lin.com,Reduced maximized initiative,
25055,16918639.3,66.58,EXISTING,IDENTIFYING DECISION MAKERS,IN PROCESS,Jozef,Savege,Jozef Savege,lknaggs9@lin.com,Customer-focused exuding encryption,
16718,11288996.68,84.81,EXISTING,PROSPECTING,IN PROCESS,Salvador,Saffran,Salvador Saffran,abownasa@lin.com,Distributed non-volatile open system,
14284,9645413,97.43,EXISTING,VALUE PROPOSITION,NEW,Dianne,Ashwood,Dianne Ashwood,cboseleyb@lin.com,Optimized well-modulated internet solution,
42863,28943669.38,48.1,NEW,VALUE PROPOSITION,ASSIGNED,Darwin,Lawlor,Darwin Lawlor,lrainforthc@lin.com,Team-oriented explicit adapter,
21093,14243259.18,35.32,NEW,CLOSED WON,DEAD,Quinton,Dightham,Quinton Dightham,mommundsend@lin.com,Quality-focused value-added workforce,
11155,7532525.3,34.13,EXISTING,NEEDS ANALYSIS,DEAD,Marlo,Shrimpling,Marlo Shrimpling,lganforthe@lin.com,Sharable needs-based moratorium,
11618,7845170,70.13,EXISTING,PERCEPTION ANALYSIS,CONVERTED,Anatol,Wyld,Anatol Wyld,kmedleyf@lin.com,Cross-platform modular task-force,
26705,18032818.3,61.12,EXISTING,PROPOSAL OR PRICE QUOTE,ASSIGNED,Karlene,Copeland,Karlene Copeland,equickendeng@lin.com,Balanced homogeneous matrix,
42578,28751220.28,42.76,EXISTING,PROSPECTING,RECYCLED,Zilvia,Schustl,Zilvia Schustl,hhubbleh@lin.com,Exclusive leading edge capacity,
45306,30593329.56,56.97,NEW,CLOSED LOST,IN PROCESS,Rania,Musker,Rania Musker,iairdriei@lin.com,Right-sized 24 hour database,
15138,10222085.88,55.11,EXISTING,PROSPECTING,NEW,Zared,Larrington,Zared Larrington,dghionj@lin.com,Advanced secondary project,
12492,8435347,40.53,NEW,NEEDS ANALYSIS,ASSIGNED,Roderic,Giraudo,Roderic Giraudo,iepslyk@lin.com,Integrated background support,
24119,16286595.94,55.5,NEW,IDENTIFYING DECISION MAKERS,CONVERTED,Aleta,Brayshaw,Aleta Brayshaw,xcanbyl@lin.com,De-engineered bandwidth-monitored alliance,
45578,30777000.28,71.88,EXISTING,PROPOSAL OR PRICE QUOTE,DEAD,Deeyn,Dabling,Deeyn Dabling,sclotworthym@lin.com,Profound full-range archive,
32756,22118816.56,44.37,EXISTING,NEEDS ANALYSIS,IN PROCESS,Pip,Hindmore,Pip Hindmore,bbassn@lin.com,Balanced bottom-line local area network,
16236,10963521.36,96.13,EXISTING,VALUE PROPOSITION,RECYCLED,Whitman,Pellamonuten,Whitman Pellamonuten,sdowtyo@lin.com,Configurable global archive,
33808,22829190.08,92.85,NEW,CLOSED LOST,CONVERTED,Jandy,Rennocks,Jandy Rennocks,oderham0@lin.com,Proactive transitional capability,
10360,6995693,31.38,NEW,CLOSED LOST,CONVERTED,Marin,Tesseyman,Marin Tesseyman,kvickress1@lin.com,Versatile background projection,
12199,8237496,66.32,NEW,NEEDS ANALYSIS,ASSIGNED,Lenette,Norman,Lenette Norman,jhrishchenko2@lin.com,Cross-group secondary project,
48569,32796702.94,73.03,NEW,CLOSED LOST,IN PROCESS,Evaleen,Greve,Evaleen Greve,tbeacock3@lin.com,Networked needs-based collaboration,
22672,15309494.72,73.28,EXISTING,CLOSED LOST,DEAD,Phoebe,Scoyles,Phoebe Scoyles,sstockell4@lin.com,Cross-platform asynchronous model,
36062,24351226.12,65.76,NEW,IDENTIFYING DECISION MAKERS,DEAD,Karlene,Winkett,Karlene Winkett,jhackly5@lin.com,Enterprise-wide secondary moderator,
24229,16360874.54,84.41,EXISTING,CLOSED WON,IN PROCESS,Leona,Folli,Leona Folli,lnorgan6@lin.com,Customizable 6th generation strategy,
24693,16674195.18,98.25,EXISTING,CLOSED LOST,ASSIGNED,Justina,McRobbie,Justina McRobbie,lcholwell7@lin.com,Seamless next generation instruction set,
23558,15907775.08,48.25,EXISTING,PERCEPTION ANALYSIS,CONVERTED,Amabel,Dobkin,Amabel Dobkin,broyan8@lin.com,Visionary national capacity,
39085,26392537.1,77.27,EXISTING,PROSPECTING,DEAD,Reynard,Pobjoy,Reynard Pobjoy,lknaggs9@lin.com,Inverse bifurcated archive,
37997,25657854.22,99.84,EXISTING,IDENTIFYING DECISION MAKERS,CONVERTED,Alvera,Coombes,Alvera Coombes,abownasa@lin.com,Reduced logistical success,
18186,12280278.36,44.71,NEW,NEGOTIATION OR REVIEW,ASSIGNED,Candie,Capstack,Candie Capstack,cboseleyb@lin.com,Customizable responsive toolset,
